163	Burton	Derby County	2.65	2.93	1.93	1.64	1.63	1.64	1.63
164	Forest Green	Cheltenham	2.65	2.93	1.93	1.64	1.63	1.64	1.63
165	Udinese	West Ham Utd.	2.83	3.17	1.76	1.93	1.42	1.93	1.42
166	Bamber Bridg	Stafford Ran	2.21	3.14	2.15	1.83	1.47	1.83	1.47
167	Boreham Wood	Southend Utd.	2.00	2.85	2.60	1.47	1.83	1.47	1.83
168	Basford Utd	Royston Town	1.83	3.08	2.73	1.98	1.39	1.98	1.39
169	Northeast Utd	Chennaiyin FC	2.92	3.08	1.76	1.86	1.45	1.86	1.45
170	Buxton FC	Peterborough 	2.21	2.85	2.31	1.59	1.67	1.59	1.67
171	Slough Town	Hav&Waterloo	3.88	3.39	1.46	1.83	1.47	1.83	1.47
172	Elgin City	Clyde Bank	2.10	3.03	2.32	1.86	1.45	1.86	1.45
173	Köln II	1. FC Kaan-Ma	1.90	3.18	2.53	2.02	1.38	2.02	1.38
174	Fas	Portekiz	4.70	3.04	1.51	1.42	2.04	1.42	2.04
175	İngiltere (D)	Fas (D)	1.85	3.40	2.80	1.29	2.43	1.29	2.43
176	M'Brough (D)	Millwall (D)	1.85	3.40	2.80	1.29	2.43	1.29	2.43
177	Portekiz (D)	Fransa (D)	1.85	3.40	2.80	1.29	2.43	1.29	2.43
178	Blackpool	Birmingham	2.41	2.87	2.27	1.54	1.84	1.54	1.84
179	M'Brough	Luton	2.41	2.87	2.27	1.54	1.84	1.54	1.84
180	Millwall	Wigan Ath.	2.41	2.87	2.27	1.54	1.84	1.54	1.84
181	Sheffield Utd	Huddersfield	2.41	2.87	2.27	1.54	1.84	1.54	1.84
182	Stoke City	Cardiff City	2.41	2.87	2.27	1.54	1.84	1.54	1.84
183	Swansea	Norwich	2.41	2.87	2.27	1.54	1.84	1.54	1.84
184	Bristol R.	Port Vale	2.13	2.85	2.40	1.61	1.65	1.61	1.65
185	Cambridge U.	Plymouth	2.13	2.85	2.40	1.61	1.65	1.61	1.65
186	Exeter City	Sheffield Wed	2.13	2.85	2.40	1.61	1.65	1.61	1.65
187	Lincoln	Wycombe	2.13	2.85	2.40	1.61	1.65	1.61	1.65
188	MK Dons	Fleetwood	2.13	2.85	2.40	1.61	1.65	1.61	1.65
189	Oxford Utd.	Barnsley	2.13	2.85	2.40	1.61	1.65	1.61	1.65
190	Espanyol	Torino	2.18	3.00	2.25	1.78	1.51	1.78	1.51
191	Grimsby Town	Tranmere	2.11	2.67	2.58	1.44	1.89	1.44	1.89
192	Newport C.	Doncaster	2.11	2.67	2.58	1.44	1.89	1.44	1.89
193	Stevenage	Mansfield	2.11	2.67	2.58	1.44	1.89	1.44	1.89
194	Sutton Utd.	Colchester	2.11	2.67	2.58	1.44	1.89	1.44	1.89
195	Swindon Town	Wimbledon	2.11	2.67	2.58	1.44	1.89	1.44	1.89
196	G'borough Tr	Warrington Ry	1.63	3.17	3.25	1.73	1.54	1.73	1.54
197	Morpeth Town	Warrington T	1.63	3.17	3.25	1.73	1.54	1.73	1.54
198	Bromley	Wealdstone	1.53	3.20	3.66	1.70	1.57	1.70	1.57
199	Chesterfield	Dorking Wand	1.53	3.20	3.66	1.70	1.57	1.70	1.57
200	Eastleigh	Wrexham	1.53	3.20	3.66	1.70	1.57	1.70	1.57
201	Maidenhead Ut	Notts C.	1.53	3.20	3.66	1.70	1.57	1.70	1.57
202	Maidstone Utd	Altrincham	1.53	3.20	3.66	1.70	1.57	1.70	1.57
203	Solihull Moor	Aldershot	1.53	3.20	3.66	1.70	1.57	1.70	1.57
204	Woking	York City	1.53	3.20	3.66	1.70	1.57	1.70	1.57
205	Yeovil Town	Scunthorpe	1.53	3.20	3.66	1.70	1.57	1.70	1.57
206	Dungannon S	Carrick Range	2.28	2.92	2.20	1.76	1.53	1.76	1.53
207	Glentoran	Glenavon	2.28	2.92	2.20	1.76	1.53	1.76	1.53
208	Larne	Newry Cit	2.28	2.92	2.20	1.76	1.53	1.76	1.53
209	Portadown	Ballymena Utd	2.28	2.92	2.20	1.76	1.53	1.76	1.53
210	Ards	Newington YC	1.59	3.40	3.19	2.36	1.25	2.36	1.25
211	Ballyclare Co	Annagh United	1.59	3.40	3.19	2.36	1.25	2.36	1.25
212	Dundela	Dergview	1.59	3.40	3.19	2.36	1.25	2.36	1.25
213	H&W Welders	Ballinamallar	1.59	3.40	3.19	2.36	1.25	2.36	1.25
214	Institute	Loughgall	1.59	3.40	3.19	2.36	1.25	2.36	1.25
215	Albans City	Chelmsford C	2.35	2.86	2.16	1.68	1.58	1.68	1.58
216	Chippenham	Ebbsfleet Uni	2.35	2.86	2.16	1.68	1.58	1.68	1.58
217	C Rangers	Hungerford To	2.35	2.86	2.16	1.68	1.58	1.68	1.58
218	Dover	Worthing	2.35	2.86	2.16	1.68	1.58	1.68	1.58
219	East.Borough	Oxford City	2.35	2.86	2.16	1.68	1.58	1.68	1.58
220	Farnborough	H Hempstead	2.35	2.86	2.16	1.68	1.58	1.68	1.58
221	Hampton&Rich	Cheshunt FC	2.35	2.86	2.16	1.68	1.58	1.68	1.58
222	Kelty Hearts	Linfield	2.96	3.17	1.71	1.86	1.45	1.86	1.45
223	Queen's Park	Montrose	2.96	3.17	1.71	1.86	1.45	1.86	1.45
